order_amount,num_items,distance_km,rider_experience,weather,order_time,promotion_applied,delivery_time_min
30.18,5,6.49,medium,rain,afternoon,N,26.5
33.76,1,9.17,low,fog,morning,N,26.4
97.96,2,11.8,low,fog,night,Y,37.1
99.36,5,10.67,high,snow,evening,N,45.0
99.55,5,5.81,high,snow,night,Y,20.0
61.43,1,10.01,medium,rain,afternoon,N,28.4
63.96,5,12.53,high,snow,afternoon,N,47.1
20.29,4,1.13,medium,clear,night,N,10.6
82.9,5,0.54,high,snow,evening,Y,10.8
30.87,6,7.52,medium,clear,afternoon,Y,22.8
99.19,7,12.64,high,clear,afternoon,Y,25.0
59.74,4,8.31,low,rain,afternoon,N,26.4
,5,10.93,low,snow,afternoon,N,38.6
,6,11.09,high,snow,night,Y,18.8
49.45,4,11.57,high,clear,evening,N,16.1
88.56,2,0.75,high,fog,morning,N,2.6
47.01,1,13.83,low,fog,morning,Y,29.6
76.89,1,7.16,low,rain,afternoon,Y,29.5
29.65,7,9.77,high,snow,morning,Y,23.2
88.4,5,5.35,low,clear,afternoon,Y,7.8
59.74,2,6.04,high,fog,evening,N,30.3
27.43,5,1.72,medium,fog,evening,N,10.9
48.86,1,9.7,high,rain,evening,N,30.9
77.9,4,10.61,medium,rain,morning,Y,20.2
51.82,1,7.7,low,snow,evening,N,28.6
35.49,4,11.1,low,snow,evening,Y,110.0
89.4,3,1.12,low,rain,morning,N,6.2
40.94,4,8.21,low,fog,morning,Y,28.0
92.57,7,3.17,low,snow,night,N,16.1
82.58,7,7.96,low,fog,morning,Y,22.9
44.8,6,1.83,medium,fog,morning,Y,5.4
,6,13.71,high,fog,night,N,45.4
,2,14.18,high,clear,night,N,30.3
12.53,3,2.79,high,rain,night,Y,6.2
13.4,1,5.37,low,rain,night,N,28.5
39.12,4,8.24,medium,fog,morning,N,13.9
19.09,5,6.6,low,snow,evening,Y,31.7
57.66,5,11.58,medium,rain,night,N,18.4
46.83,5,10.75,low,fog,morning,Y,21.2
16.7,2,2.1,medium,snow,afternoon,N,17.6
54.64,1,10.97,low,clear,evening,N,36.1
,7,3.73,low,clear,night,Y,14.7
42.39,2,11.13,low,clear,morning,N,27.5
28.35,3,12.25,low,fog,night,N,31.4
81.3,5,13.61,low,snow,night,Y,30.9
69.65,7,1.79,low,fog,evening,N,10.5
,7,5.49,medium,fog,night,N,13.8
84.86,2,0.84,medium,rain,night,N,18.1
